truck_number,cargo_hold_capacity,total_distance_traveled
8026,155,1990
6352,99,3286
8372,191,2256
3228,101,3496
2936,138,4682
5441,109,2672
4246,177,4956
6727,52,1238
2441,91,4165
6575,99,1758
3542,66,4212
3992,150,1774
3001,179,1813
1019,167,4430
9548,190,2591
4196,120,4213
3160,150,2126
8075,184,3470
8067,103,2533
7417,158,3410
6189,55,3256
2707,68,4850
2989,90,2852
1896,169,3780
9276,184,3681
2347,58,1007
8592,112,4392
4185,106,4222
6080,64,4998
3807,81,3469
4344,127,3223
5386,162,2998
1141,72,4099
8390,72,1885
8055,86,2756
7734,199,2844
8017,120,4066
9066,87,3501
9051,174,3074
5111,67,3462
3578,99,3317
9246,123,2898
1925,193,3849
6356,159,3786
7547,90,4625
7724,169,2325
3989,117,4996
6820,98,1779
8238,61,1722
1499,119,2782
3942,165,3190
8266,160,2151
8997,60,2036
8738,146,3944
8075,151,1270
2562,90,4391
7691,143,4185
1867,57,2906
7067,73,3781
6214,53,3791
4412,194,3566
2960,94,1509
4817,110,1338
9976,174,4589
8284,91,2427
1404,79,1855
5136,187,1875
6620,181,1077
4340,194,3295
6132,65,4361
7034,174,1474
9091,94,1498
7564,94,4439
6408,162,4113
8707,81,2824
1646,163,2942
4414,192,2319
7464,169,4962
9740,138,1396
2885,73,1342
3988,183,2472
5979,122,3447
1244,61,1559
4391,186,4201
4230,192,3532
7902,137,1512
3646,182,2359
3134,135,1295
5587,85,3934
2345,86,2289
3554,159,3752
7356,151,2880
3880,197,2257
8052,85,2243
4734,91,2034
6404,57,3995
8965,97,2820
6089,55,4032
1120,162,4699
8982,192,3073
5678,100,3992
4774,122,2221
9928,142,2165
6800,130,4244
9658,144,4651
8154,121,3944
1278,63,3906
6117,134,1511
8869,156,2719
9225,62,4020
1239,89,4295
1601,121,2228
2027,91,2125
1590,197,2143
8211,60,1515
5102,56,3478
4334,159,4992
2943,151,3635
4160,50,4020
1020,66,4460
1057,71,2075
3507,80,3526
3874,56,3978
2891,66,1976
3413,84,1573
7992,152,2575
7169,67,1941
8699,156,1332
1008,152,4559
1227,168,4081
1400,151,4034
2212,95,4923
2201,148,4243
6344,118,1195
9196,141,4273
2991,142,4960
6848,147,2344
8188,143,4518
9917,195,1637
3415,117,1377
3922,77,3325
1961,119,2011
5962,143,3323
2466,152,4906
2557,146,2983
4152,115,3416
6272,173,1619
7659,150,2360
5405,123,3943
5967,156,4476
7267,61,4107
1581,186,3953
7637,81,2201
7357,125,4347
9756,192,4673
9768,188,2334
4745,121,4354
3086,135,1155
3082,91,1574
7671,163,3485
2687,139,1312
3278,111,1871
4339,83,1249
9465,79,1275
3970,163,2115
9114,90,4865
6396,130,2479
9363,182,2563
7126,96,1241
6261,199,4905
8325,95,3716
9767,134,1201
4389,103,3040
3142,60,4341
3243,97,3359
7636,188,2091
8694,98,1928
9804,132,1674
3166,59,3590
3219,108,2345
2178,148,3625
1017,145,1522
1969,123,1174
1436,171,3214
3247,51,4759
7916,146,1478
7320,53,1868
6639,169,2828
7970,51,2801
3331,153,3714
9227,148,2667
2842,141,3748
7891,146,2717
6312,58,2397
2482,102,4762
3966,182,1369
4667,132,4249
7259,191,4376
7314,195,4069
3750,181,2943
8544,93,1020
6215,115,4259
1722,177,1613
8751,162,1616
5675,137,1720
4979,130,2884
9497,56,1583
5565,123,1302
1188,75,3051
9685,78,1425
6846,93,3239
1195,87,4419
9441,53,1074
6452,196,3962
8796,50,2937
3443,156,4560
4720,164,4791
5988,200,1090
5110,130,2245
5370,147,3027
9735,108,3839
6585,175,4590
1753,141,3269
1182,183,4824
7215,138,3982
9655,154,3214
4834,134,4672
4791,65,1344
9941,122,1712
5275,110,4463
9591,192,2051
3907,177,1990
3259,156,3227
7054,168,1874
2524,170,4769
4317,173,4248
9143,86,4800
4113,198,2858
7095,81,2414
7789,160,3784
8788,160,4862
6322,178,1026
6413,121,2248
5289,110,3186
9547,139,4763
1301,87,2666
2192,178,2639
6985,132,3700
3587,85,3317
3647,116,4461
6780,118,2051
5129,121,1637
3260,177,4565
1302,181,4274
8453,98,1875
6623,121,1680
9042,101,4489
5512,54,3802
4095,71,4231
6202,120,1108
5890,163,4849
1811,159,3569
6759,109,1067
5600,111,1492
5703,150,2223
3377,110,1846
4909,155,1434
5414,121,2005
8563,166,4887
9310,52,1539
8755,129,2358
7833,120,1498
3095,184,2219
8249,69,3357
4446,86,2399
5483,103,2831
9094,169,4365
8018,152,1843
5217,89,3486
8514,124,4834
6294,99,2222
6790,78,3358
6727,184,1169
6857,140,4107
2476,193,2688
8856,186,2142
5853,99,1072
2780,65,4588
7299,125,3120
9294,182,4954
6049,119,4771
9493,148,1718
4142,74,4110
2065,79,2711
6614,77,1456
6294,186,1651
3318,157,1630
9240,163,1820
6274,197,1034
1920,75,1984
4576,66,1163
7753,170,1303
7284,127,4681
6389,157,1444
3638,128,3844
6727,75,3597
7639,194,1931
1615,58,1770
5565,56,4207
5921,170,1248
5617,96,3043
4325,59,4730
6448,54,1597
2629,126,1723
7898,55,2640
7945,92,4681
5755,135,3486
3804,180,4879
4842,52,4897
8798,89,3646
7536,198,2805
7099,110,3660
6903,120,2588
6663,109,1617
8236,158,3481
8323,158,1786
5308,148,1073
2009,144,3276
3885,51,2063
9666,172,1293
1949,121,1485
5649,151,4784
3238,181,3023
2086,74,2043
8944,70,4229
7832,55,2200
5693,128,3154
2084,109,1363
4229,125,3975
4747,163,2435
5093,78,1128
3976,164,2259
3202,130,1043
9212,172,3723
9595,121,1431
4800,160,2219
3775,141,4382
9159,99,3517
7793,147,1477
4740,183,2504
1229,114,3746
6301,110,3382
6889,170,3281
3171,55,2567
6940,58,4904
4753,136,3273
7348,186,4565
9905,100,1522
4398,195,1695
2134,178,4138
6381,185,3581
1006,181,2547
9301,58,3114
7261,65,1180
3303,141,1325
1906,120,4455
9565,146,3238
7623,57,1821
9509,63,1588
7292,161,4110
9158,135,3398
4865,179,4727
2104,152,4128
9007,55,4605
5853,127,2983
2188,63,4570
8468,121,1284
1383,78,4154
7199,158,3588
7240,73,3657
5153,180,1134
9331,145,3969
6721,64,3801
1050,145,3448
8396,130,4744
8619,145,1425
8164,117,3195
1205,159,2575
7160,68,2459
8204,163,2590
9208,90,4313
3362,193,2189
8513,155,1400
9971,199,3550
6168,128,3090
6974,101,2532
7285,147,3149
6321,188,2499
7896,200,3093
8033,72,3020
1375,111,1493
3256,158,4593
4954,178,3937
6086,131,4308
6629,164,2983
4094,57,2754
6523,70,1415
9870,56,3686
4019,193,2591
3320,192,4431
7938,124,1687
5990,166,1928
6769,177,2775
8969,66,1416
5167,77,4564
6145,145,2733
8189,196,3776
3116,131,4610
8646,146,4520
2880,105,4632
1478,126,2635
7660,111,3728
5356,78,1474
7668,147,3642
8867,100,4637
7263,67,4439
2871,195,4870
1192,189,3757
9848,172,2420
7487,157,4453
6394,119,4578
6286,117,2850
8110,58,1079
7019,165,3557
1559,71,1257
3171,153,4906
3159,142,3814
8935,132,4058
4008,143,4709
2199,107,3742
9341,109,4076
8870,130,3733
9474,86,2141
5492,119,3465
7471,75,3849
5368,94,4624
9688,174,2623
3471,132,1113
8983,172,4740
6050,155,3791
2238,112,3674
5514,198,4350
8342,82,2727
3029,128,2682
1824,188,1443
3096,179,2795
4342,140,4134
1880,88,4911
6364,184,1613
6096,200,1629
5371,76,1081
2860,92,3986
9977,126,2741
4001,67,3834
2800,90,2329
5255,178,2950
4162,153,1773
9806,94,2771
6535,178,2273
4792,64,4141
6141,67,2364
5436,145,2694
5902,190,2843
5002,172,1706
7156,62,2791
2913,181,4746
2227,99,2163
3597,135,1354
9988,122,4798
6497,103,4341
6983,88,4284
7153,179,1630
9498,94,3583
2882,150,4590
2232,67,2912
7498,67,4141
2190,142,1239
8216,57,1197
1496,101,1465
9986,148,2550
8520,63,3964
5078,83,2199
1562,125,1511
3357,131,1814
2097,106,3998
5884,144,3607
3924,161,3128
1727,76,4506
6404,169,2182
7042,124,3508
3899,150,4171
3551,117,2631
1505,140,4184
8471,189,4524
8880,163,3046
9828,96,2606
9189,182,3353
6465,141,4401
5226,164,1355
8531,187,1888
2470,132,2010
9335,67,4971
4860,137,4136
3721,180,3544
3662,52,1089
8005,165,2582
3061,131,3985
1317,76,2464
4327,71,2504
6148,196,2369
6737,168,4810
2153,113,3469
8482,184,3968
2774,166,2785
2858,166,1164
6019,200,3441
8811,109,2639
6979,188,2199
7505,148,1015
7465,143,3593
6115,97,1387
7987,78,1732
6791,191,4528
4327,186,2163
5959,156,2516
8878,172,2896
2863,108,4285
5941,114,2489
5542,109,1695
8316,122,1333
1780,192,3089
4336,160,1929
5335,61,1925
2480,108,3538
2671,56,2593
4589,72,2171
1536,199,4424
8860,96,3937
7274,167,4009
9017,120,3357
8241,86,1342
7644,61,1276
8222,80,4127
7631,69,3235
3388,143,4431
9712,85,2826
9295,174,2726
1014,158,1738
5958,62,4311
1477,100,2015
1844,122,3743
9921,144,2124
4543,141,2978
7502,149,2633
9347,137,4898
1881,118,4765
6728,200,3681
8865,96,1888
1504,117,1532
5037,88,1394
6412,117,3800
9729,75,1290
2900,106,2686
5440,189,1035
5375,62,3154
6344,189,2915
4656,150,3685
8270,68,3129
3205,189,1280
5508,59,4617
6579,200,3717
3688,143,4377
9073,78,3998
9163,136,1671
5841,190,3633
3521,116,3840
3631,162,2902
9669,93,2173
2765,139,1878
8493,191,3210
7594,119,1842
9068,108,4965
7224,140,3446
1064,155,2457
1273,163,2165
4771,133,2724
1378,136,4274
4554,103,1633
7280,107,3872
5280,103,1213
1299,147,1794
8732,103,3314
1590,93,3682
7317,140,1437
3521,192,3728
4799,55,1442
4336,63,4319
4474,103,1716
8805,119,1053
3714,81,4564
6403,154,3732
3305,189,2991
7282,187,4692
7816,75,4028
6006,166,1661
7799,76,2703
4028,57,3753
3417,198,2096
8628,85,1312
8751,180,4442
7128,130,2344
4870,84,2972
8673,195,2495
7483,165,4115
8545,151,4960
9187,163,2495
3545,64,4486
7343,67,4953
4717,168,3879
4060,181,2571
3422,140,3129
9606,136,1150
5120,101,3029
1663,152,2534
4092,164,3721
6885,118,4358
8166,51,4600
2277,65,1621
5194,109,1997
1169,109,3135
1905,169,1078
3480,187,4490
7576,102,1914
2091,190,2744
5823,57,2118
3271,109,1505
6776,182,2971
9589,170,2551
1307,177,3433
9941,146,4258
7145,102,4687
9935,188,2365
1751,177,4075
6911,138,1799
3158,153,3119
9487,80,4688
1043,59,1473
4317,152,2071
4039,171,2417
6538,190,2914
7095,113,3285
9945,102,2303
9884,186,4245
1051,96,2867
7477,85,2812
2387,91,1502
7388,146,3360
9949,90,4081
7021,73,3970
2852,51,4229
2650,128,4651
2037,53,4534
3793,60,3520
8329,105,2356
8685,162,4680
9355,64,1604
9345,73,3006
4058,133,2788
7967,167,2105
4333,159,4300
7458,74,1934
9465,164,4177
4996,70,1613
3869,78,2465
9393,179,2191
4164,56,1313
2097,116,4035
3140,196,4198
1104,119,2699
3327,133,1214
3735,145,3844
7207,114,1520
7081,70,3615
9743,86,2497
1445,54,4095
6798,194,1555
5646,61,3990
5528,149,2308
1626,192,1799
1745,78,1779
7090,77,1351
2001,132,1105
9754,89,2467
3681,76,4888
9488,153,1776
3706,71,1297
8017,85,1708
7251,145,2815
6403,112,4060
7477,96,3428
1667,120,1014
7563,95,4202
9953,120,4746
9543,57,3222
2802,199,1310
7004,182,3658
7393,191,1045
2486,85,3631
6787,124,2539
6124,173,2827
8433,149,2641
2896,92,1857
8273,151,2814
6914,156,3845
7904,72,4269
9272,182,3589
4388,177,1118
2256,81,1534
1769,183,4988
3920,69,3850
5215,135,3676
8717,69,3499
5463,85,1764
9298,132,4447
6705,99,1888
8970,138,2830
8582,72,1477
4389,107,1811
1665,73,2741
6726,77,1711
4831,65,1497
6546,156,4343
9342,70,3340
1602,85,1693
1472,75,1056
1505,184,3433
6518,187,2605
4078,94,4696
5373,161,1019
3552,94,2605
5316,82,4773
8039,168,4003
1234,192,4601
5835,62,4295
7374,93,1585
6138,62,1655
7442,168,3478
9329,60,3615
7378,199,3523
4738,106,1614
4067,150,4170
7009,165,3865
6868,85,4392
1537,64,3422
9505,69,3020
5159,178,1857
5861,151,1109
1921,129,3325
9104,157,1934
5874,163,1807
3419,92,1956
2509,161,1219
9904,134,4050
5479,51,3507
1129,163,2042
3955,146,3769
8142,89,3219
6600,170,2035
7627,104,2391
6247,54,1389
5186,187,4333
8571,84,1389
7837,176,4176
4193,175,2258
3803,137,2389
5196,148,3209
6164,116,3584
8872,195,3546
2092,145,3008
1589,165,4848
2798,123,4711
6874,126,3731
5022,125,4274
4930,89,4727
4697,64,1000
7669,184,1742
9723,65,3151
9589,191,1916
7293,96,4192
9424,194,2604
6654,123,2615
6223,53,1902
3021,125,1504
7595,174,4321
8407,172,4690
9911,76,1406
5116,146,4335
8318,72,1597
8769,157,1126
3450,137,2118
1268,83,2775
7922,82,1833
2150,116,3879
4480,67,3167
3400,165,3045
8771,180,4213
7255,187,1401
7845,69,1838
7560,112,2035
3767,140,1333
3952,134,1942
9982,98,4274
9497,53,2896
8138,95,4433
7011,137,3223
5478,87,1254
4088,169,1724
2304,77,1660
7892,188,1407
4345,163,1482
6564,90,1653
2003,154,2740
3531,142,4323
8654,68,1520
2748,150,1066
7146,175,2581
8773,110,1097
6900,82,4105
